Quarter,Region,State,Purpose,Trips
1998 Q1,East Coast,Tasmania,Business,1.3150918
1998 Q2,East Coast,Tasmania,Business,6.5773375
1998 Q3,East Coast,Tasmania,Business,0.6825454
1998 Q4,East Coast,Tasmania,Business,7.1584586
1999 Q1,East Coast,Tasmania,Business,3.8843292
1999 Q2,East Coast,Tasmania,Business,1.6447747
1999 Q3,East Coast,Tasmania,Business,1.5083181
1999 Q4,East Coast,Tasmania,Business,18.8529787
2000 Q1,East Coast,Tasmania,Business,3.8523139
2000 Q2,East Coast,Tasmania,Business,3.9480891
2000 Q3,East Coast,Tasmania,Business,2.3390509
2000 Q4,East Coast,Tasmania,Business,4.5822208
2001 Q1,East Coast,Tasmania,Business,12.5607522
2001 Q2,East Coast,Tasmania,Business,6.1509796
2001 Q3,East Coast,Tasmania,Business,0
2001 Q4,East Coast,Tasmania,Business,4.4214553
2002 Q1,East Coast,Tasmania,Business,5.7171735
2002 Q2,East Coast,Tasmania,Business,8.5325816
2002 Q3,East Coast,Tasmania,Business,2.7551209
2002 Q4,East Coast,Tasmania,Business,3.975278
2003 Q1,East Coast,Tasmania,Business,6.3992407
2003 Q2,East Coast,Tasmania,Business,2.5597671
2003 Q3,East Coast,Tasmania,Business,14.0897498
2003 Q4,East Coast,Tasmania,Business,2.7699462
2004 Q1,East Coast,Tasmania,Business,5.3167325
2004 Q2,East Coast,Tasmania,Business,0
2004 Q3,East Coast,Tasmania,Business,9.3430432
2004 Q4,East Coast,Tasmania,Business,8.1256744
2005 Q1,East Coast,Tasmania,Business,12.136179
2005 Q2,East Coast,Tasmania,Business,8.6462008
2005 Q3,East Coast,Tasmania,Business,7.6485759
2005 Q4,East Coast,Tasmania,Business,5.0269166
2006 Q1,East Coast,Tasmania,Business,4.339412
2006 Q2,East Coast,Tasmania,Business,2.600707
2006 Q3,East Coast,Tasmania,Business,2.057473
2006 Q4,East Coast,Tasmania,Business,7.456084
2007 Q1,East Coast,Tasmania,Business,5.1737259
2007 Q2,East Coast,Tasmania,Business,1.5156086
2007 Q3,East Coast,Tasmania,Business,2.3533286
2007 Q4,East Coast,Tasmania,Business,2.0443514
2008 Q1,East Coast,Tasmania,Business,2.9171086
2008 Q2,East Coast,Tasmania,Business,1.512071
2008 Q3,East Coast,Tasmania,Business,4.5025628
2008 Q4,East Coast,Tasmania,Business,3.9958254
2009 Q1,East Coast,Tasmania,Business,0.7986925
2009 Q2,East Coast,Tasmania,Business,5.2421523
2009 Q3,East Coast,Tasmania,Business,4.484879
2009 Q4,East Coast,Tasmania,Business,3.1727709
2010 Q1,East Coast,Tasmania,Business,1.1612689
2010 Q2,East Coast,Tasmania,Business,2.4704139
2010 Q3,East Coast,Tasmania,Business,4.6240886
2010 Q4,East Coast,Tasmania,Business,0.9595396
2011 Q1,East Coast,Tasmania,Business,2.4575426
2011 Q2,East Coast,Tasmania,Business,8.4250346
2011 Q3,East Coast,Tasmania,Business,2.1888204
2011 Q4,East Coast,Tasmania,Business,1.659071
2012 Q1,East Coast,Tasmania,Business,9.2533313
2012 Q2,East Coast,Tasmania,Business,2.3672074
2012 Q3,East Coast,Tasmania,Business,1.8541476
2012 Q4,East Coast,Tasmania,Business,3.5834616
2013 Q1,East Coast,Tasmania,Business,1.4503879
2013 Q2,East Coast,Tasmania,Business,0
2013 Q3,East Coast,Tasmania,Business,5.7367471
2013 Q4,East Coast,Tasmania,Business,2.120349
2014 Q1,East Coast,Tasmania,Business,3.1764748
2014 Q2,East Coast,Tasmania,Business,0.8112175
2014 Q3,East Coast,Tasmania,Business,5.8266247
2014 Q4,East Coast,Tasmania,Business,0.4270201
2015 Q1,East Coast,Tasmania,Business,6.7975841
2015 Q2,East Coast,Tasmania,Business,0
2015 Q3,East Coast,Tasmania,Business,0.1331535
